"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Kentucky"	"21"	"2021"	"2021"	2381	4509394	52.800886328	50.679999053	54.921773602	1.082085344	55.622581723	53.337875738	57.907287709	1.165666319
	"Kentucky"	"21"	"2022"	"2022"	2271	4512310	50.328988921	48.259011015	52.398966827	1.056111176	53.176922779	50.940717304	55.413128253	1.140921161
	"Kentucky"	"21"	"2023 (provisional)"	"2023"	2077	4512310	46.029638921	44.050048283	48.009229559	1.009995223	48.056830082	45.938972570	50.174687594	1.080539547
	"Kentucky"	"21"	"2024 (provisional and partial)"	"2024"	396	4512310	8.775992784	7.911612732	9.640372836	0.441010231	9.033000158	8.118260926	9.947739390	0.466703690
"Total"	"Kentucky"	"21"			7125	18046324	39.481724921	38.564956267	40.398493574	0.467739109	41.486534335	40.500645131	42.472423539	0.503004696
	"Louisiana"	"22"	"2021"	"2021"	2463	4624047	53.265029529	51.161415602	55.368643457	1.073272412	55.887466807	53.640224426	58.134709188	1.146552235
	"Louisiana"	"22"	"2022"	"2022"	2376	4590241	51.761988096	49.680644401	53.843331791	1.061910048	54.502276365	52.269967642	56.734585088	1.138933022
	"Louisiana"	"22"	"2023 (provisional)"	"2023"	2224	4590241	48.450615120	46.436946627	50.464283614	1.027381885	50.390043360	48.251731662	52.528355059	1.090975356
	"Louisiana"	"22"	"2024 (provisional and partial)"	"2024"	380	4590241	8.278432440	7.446070177	9.110794702	0.424674624	8.619383584	7.734539879	9.504227288	0.451450870
"Total"	"Louisiana"	"22"			7443	18394770	40.462588007	39.543333604	41.381842411	0.469007349	42.418400646	41.436165136	43.400636156	0.501140566
	"Maine"	"23"	"2021"	"2021"	611	1372247	44.525511806	40.994945384	48.056078229	1.801309399	47.066417598	43.194725281	50.938109916	1.975353223
	"Maine"	"23"	"2022"	"2022"	707	1385340	51.034403107	47.272484420	54.796321794	1.919346269	54.298765313	50.150898781	58.446631846	2.116258435
	"Maine"	"23"	"2023 (provisional)"	"2023"	598	1385340	43.166298526	39.706504143	46.626092909	1.765201216	45.264992922	41.487093733	49.042892111	1.927499586
	"Maine"	"23"	"2024 (provisional and partial)"	"2024"	135	1385340	9.744900169	8.101033531	11.388766806	0.838707468	10.206177771	8.414607762	11.997747779	0.914066331
"Total"	"Maine"	"23"			2051	5528267	37.100234124	35.494587792	38.705880456	0.819207312	39.189184007	37.428162055	40.950205959	0.898480588
	"Maryland"	"24"	"2021"	"2021"	2737	6165129	44.394853701	42.731627561	46.058079840	0.848584765	42.807460347	41.163495478	44.451425216	0.838757586
	"Maryland"	"24"	"2022"	"2022"	2573	6164660	41.737906065	40.125156863	43.350655266	0.822831225	40.265651995	38.670781097	41.860522892	0.813709642
	"Maryland"	"24"	"2023 (provisional)"	"2023"	2550	6164660	41.364811685	39.759286832	42.970336538	0.819145333	39.338782039	37.769183760	40.908380319	0.800815449
	"Maryland"	"24"	"2024 (provisional and partial)"	"2024"	473	6164660	7.672767030	6.981290390	8.364243670	0.352794204	7.304500708	6.627690258	7.981311158	0.345311454
"Total"	"Maryland"	"24"			8333	24659109	33.792786268	33.067216161	34.518356375	0.370188830	32.428250404	31.713835658	33.142665150	0.364497319
	"Massachusetts"	"25"	"2021"	"2021"	2585	6984723	37.009341673	35.582626902	38.436056444	0.727915699	36.778803668	35.323221593	38.234385742	0.742643916
	"Massachusetts"	"25"	"2022"	"2022"	2642	6981974	37.840301324	36.397374687	39.283227962	0.736187060	37.386644357	35.920088720	38.853199994	0.748242672
	"Massachusetts"	"25"	"2023 (provisional)"	"2023"	2387	6981974	34.188039085	32.816513057	35.559565112	0.699758177	33.693653236	32.302782505	35.084523967	0.709627924
	"Massachusetts"	"25"	"2024 (provisional and partial)"	"2024"	424	6981974	6.072781136	5.494737303	6.650824969	0.294920323	6.008109833	5.421286814	6.594932851	0.299399499
"Total"	"Massachusetts"	"25"			8038	27930645	28.778425991	28.149283369	29.407568612	0.320991133	28.478109447	27.838201850	29.118017044	0.326483468
	"Michigan"	"26"	"2021"	"2021"	3089	10050811	30.733838294	29.650001428	31.817675160	0.552977993	31.453878389	30.307378573	32.600378206	0.584948886
	"Michigan"	"26"	"2022"	"2022"	2997	10034113	29.868110913	28.798759481	30.937462345	0.545587465	30.698356206	29.563455272	31.833257140	0.579031089
	"Michigan"	"26"	"2023 (provisional)"	"2023"	2882	10034113	28.722020571	27.673386240	29.770654903	0.535017516	28.985709234	27.888592556	30.082825912	0.559753407
	"Michigan"	"26"	"2024 (provisional and partial)"	"2024"	493	10034113	4.913239466	4.479528360	5.346950572	0.221281177	4.997167234	4.539526799	5.454807670	0.233490018
"Total"	"Michigan"	"26"			9461	40153150	23.562285898	23.087492172	24.037079624	0.242241697	24.049525695	23.548293128	24.550758262	0.255730902
	"Minnesota"	"27"	"2021"	"2021"	1356	5707390	23.758670776	22.494084786	25.023256766	0.645196934	24.547756477	23.218564611	25.876948343	0.678159115
	"Minnesota"	"27"	"2022"	"2022"	1384	5717184	24.207721843	22.932334958	25.483108729	0.650707594	24.823087697	23.490457924	26.155717470	0.679913149
	"Minnesota"	"27"	"2023 (provisional)"	"2023"	1331	5717184	23.280692033	22.029963869	24.531420197	0.638126614	23.612362581	22.317511298	24.907213864	0.660638410
	"Minnesota"	"27"	"2024 (provisional and partial)"	"2024"	255	5717184	4.460237767	3.912788358	5.007687177	0.279310923	4.498686871	3.935509699	5.061864042	0.287335292
"Total"	"Minnesota"	"27"			4326	22858942	18.924760385	18.360807006	19.488713764	0.287731316	19.363109110	18.775144725	19.951073494	0.299981829
	"Mississippi"	"28"	"2021"	"2021"	787	2949965	26.678282624	24.814365603	28.542199645	0.950978072	28.382947127	26.359519841	30.406374413	1.032360860
	"Mississippi"	"28"	"2022"	"2022"	758	2940057	25.781813074	23.946395339	27.617230809	0.936437620	27.627741970	25.617904317	29.637579624	1.025427374
	"Mississippi"	"28"	"2023 (provisional)"	"2023"	702	2940057	23.877088097	22.110770169	25.643406026	0.901182616	25.285699419	23.371583263	27.199815576	0.976589876
	"Mississippi"	"28"	"2024 (provisional and partial)"	"2024"	129	2940057	4.387670035	3.630496935	5.144843135	0.386312806	4.487181571	3.692992532	5.281370610	0.405198489
"Total"	"Mississippi"	"28"			2376	11770136	20.186682635	19.374978406	20.998386863	0.414134811	21.479704680	20.596903107	22.362506254	0.450408966
	"Missouri"	"29"	"2021"	"2021"	2155	6168187	34.937332477	33.462230052	36.412434902	0.752603278	36.518498633	34.942828694	38.094168573	0.803913234
	"Missouri"	"29"	"2022"	"2022"	2192	6177957	35.480985057	33.995625944	36.966344170	0.757836282	36.876379927	35.298490962	38.454268892	0.805045390
	"Missouri"	"29"	"2023 (provisional)"	"2023"	1986	6177957	32.146549418	30.732707634	33.560391201	0.721347849	33.629900658	32.116062951	35.143738364	0.772366177
	"Missouri"	"29"	"2024 (provisional and partial)"	"2024"	402	6177957	6.507005471	5.870907198	7.143103745	0.324539935	6.602871883	5.940075668	7.265668097	0.338161334
"Total"	"Missouri"	"29"			6735	24702058	27.264934768	26.613768741	27.916100795	0.332227565	28.408583448	27.714756409	29.102410488	0.353993387
	"Montana"	"30"	"2021"	"2021"	199	1104271	18.020938701	15.517096571	20.524780830	1.277470474	19.489797061	16.716796381	22.262797742	1.414796266
	"Montana"	"30"	"2022"	"2022"	208	1122867	18.524010413	16.006568721	21.041452104	1.284409026	19.377223692	16.678870094	22.075577289	1.376711019
	"Montana"	"30"	"2023 (provisional)"	"2023"	188	1122867	16.742855565	14.349503010	19.136208120	1.221098242	17.290328012	14.748599425	19.832056599	1.296800300
	"Montana"	"30"	"2024 (provisional and partial)"	"2024"	38	1122867	3.384194210	2.394858875	4.645077289	0.548988794	3.532180670	2.473904019	4.890021563	0.590011404
"Total"	"Montana"	"30"			633	4472872	14.151981099	13.049499229	15.254462968	0.562490750	14.902404359	13.711458807	16.093349910	0.607625281
	"Nebraska"	"31"	"2021"	"2021"	214	1963692	10.897839376	9.437715888	12.357962864	0.744960963	11.360087007	9.810382848	12.909791165	0.790665387
	"Nebraska"	"31"	"2022"	"2022"	225	1967923	11.433374172	9.939413280	12.927335063	0.762224945	11.843759751	10.268222819	13.419296684	0.803845373
	"Nebraska"	"31"	"2023 (provisional)"	"2023"	172	1967923	8.740179367	7.433971806	10.046386928	0.666432429	9.043509762	7.665607301	10.421412222	0.703011459
	"Nebraska"	"31"	"2024 (provisional and partial)"	"2024"	25	1967923	1.270374908	0.822123122	1.875327439	0.254074982	1.410288124	0.903599807	2.098395906	0.286211889
"Total"	"Nebraska"	"31"			636	7867461	8.083929491	7.455654127	8.712204855	0.320548655	8.412456862	7.746725211	9.078188513	0.339659006
	"Nevada"	"32"	"2021"	"2021"	949	3143991	30.184564778	28.264093203	32.105036352	0.979832436	29.162936659	27.269893006	31.055980312	0.965838598
	"Nevada"	"32"	"2022"	"2022"	1003	3177772	31.562994450	29.609627642	33.516361258	0.996615718	30.321015522	28.405621168	32.236409876	0.977242017
	"Nevada"	"32"	"2023 (provisional)"	"2023"	1282	3177772	40.342730693	38.134332669	42.551128717	1.126733686	38.467569593	36.318413386	40.616725800	1.096508269
	"Nevada"	"32"	"2024 (provisional and partial)"	"2024"	299	3177772	9.409108017	8.342588195	10.475627838	0.544142766	8.814263473	7.794139904	9.834387042	0.520471208
"Total"	"Nevada"	"32"			3533	12677307	27.868694826	26.949725781	28.787663871	0.468861757	26.668331617	25.770893413	27.565769820	0.457876634
	"New Hampshire"	"33"	"2021"	"2021"	441	1388992	31.749642907	28.786342902	34.712942911	1.511887758	32.334283365	29.209881562	35.458685169	1.594082553
	"New Hampshire"	"33"	"2022"	"2022"	486	1395231	34.832941642	31.736035175	37.929848109	1.580054320	35.984014600	32.673965438	39.294063761	1.688800593
	"New Hampshire"	"33"	"2023 (provisional)"	"2023"	440	1395231	31.535996548	28.589294042	34.482699055	1.503419646	32.945946852	29.765891124	36.126002579	1.622477412
	"New Hampshire"	"33"	"2024 (provisional and partial)"	"2024"	96	1395231	6.880581065	5.573270663	8.402359179	0.702246364	7.152088408	5.743699159	8.801288474	0.756700386
"Total"	"New Hampshire"	"33"			1463	5574685	26.243635291	24.898834666	27.588435915	0.686122767	27.111051864	25.673987257	28.548116471	0.733196228
	"New Jersey"	"34"	"2021"	"2021"	3056	9267130	32.976768428	31.807571970	34.145964885	0.596528805	32.423351593	31.243956174	33.602747012	0.601732357
	"New Jersey"	"34"	"2022"	"2022"	2985	9261699	32.229507783	31.073295505	33.385720060	0.589904223	31.634428129	30.470626110	32.798230148	0.593776540
	"New Jersey"	"34"	"2023 (provisional)"	"2023"	2688	9261699	29.022752737	27.925567284	30.119938190	0.559788497	28.366279144	27.265030259	29.467528028	0.561861676
	"New Jersey"	"34"	"2024 (provisional and partial)"	"2024"	511	9261699	5.517346223	5.038963090	5.995729357	0.244073027	5.382881316	4.902305809	5.863456823	0.245191585
"Total"	"New Jersey"	"34"			9240	37052227	24.937772296	24.429287771	25.446256822	0.259430880	24.454240209	23.942604237	24.965876181	0.261038761
	"New Mexico"	"35"	"2021"	"2021"	1052	2115877	49.719336237	46.714827139	52.723845336	1.532912805	51.608058658	48.407466793	54.808650523	1.632955033
	"New Mexico"	"35"	"2022"	"2022"	1024	2113344	48.454014112	45.486205748	51.421822477	1.514187941	50.337982398	47.176704215	53.499260581	1.612897032
	"New Mexico"	"35"	"2023 (provisional)"	"2023"	993	2113344	46.987144544	44.064604299	49.909684790	1.491091962	48.999836565	45.874452747	52.125220384	1.594583581
	"New Mexico"	"35"	"2024 (provisional and partial)"	"2024"	173	2113344	8.186078556	6.966221542	9.405935570	0.622376028	8.226261343	6.964542746	9.487979941	0.643733979
"Total"	"New Mexico"	"35"			3242	8455909	38.340053092	37.020270864	39.659835320	0.673358280	39.813712952	38.407943939	41.219481964	0.717229088
	"New York"	"36"	"2021"	"2021"	5842	19835913	29.451631493	28.696392068	30.206870918	0.385326237	28.749761154	27.991088637	29.508433672	0.387077815
	"New York"	"36"	"2022"	"2022"	6358	19677151	32.311588197	31.517343882	33.105832512	0.405226691	31.417674640	30.622723082	32.212626198	0.405587530
	"New York"	"36"	"2023 (provisional)"	"2023"	6330	19677151	32.169291174	31.376797676	32.961784673	0.404333418	30.888480289	30.103564372	31.673396205	0.400467304
	"New York"	"36"	"2024 (provisional and partial)"	"2024"	1169	19677151	5.940900692	5.600334833	6.281466551	0.173758091	5.693082495	5.356254169	6.029910820	0.171851187
"Total"	"New York"	"36"			19699	78867366	24.977377842	24.628574350	25.326181335	0.177960966	24.236235908	23.887587181	24.584884635	0.177882004
	"North Carolina"	"37"	"2021"	"2021"	3981	10551162	37.730441443	36.558375980	38.902506907	0.597992583	39.161124564	37.921676475	40.400572652	0.632371474
	"North Carolina"	"37"	"2022"	"2022"	4310	10698973	40.284240366	39.081553371	41.486927361	0.613615814	41.773861111	40.503083285	43.044638937	0.648356034
	"North Carolina"	"37"	"2023 (provisional)"	"2023"	3520	10698973	32.900354081	31.813464785	33.987243376	0.554535355	34.138330316	32.987561530	35.289099101	0.587126931
	"North Carolina"	"37"	"2024 (provisional and partial)"	"2024"	395	10698973	3.691943143	3.327849976	4.056036309	0.185761820	3.921049001	3.527494912	4.314603090	0.200792903
